Field Name,Field Path,Lucene Path,CV DOMAIN,Display Name,Lucene  Status,,Description,FinalField,Status,Data Type,Data to include,,,,,,,,,,,,,
Molecular Weight,/moieties/?/mwt,root_moieties_structure_mwt,,Moiety Mwt,UPDATE LUCENE PATH & FIX BACKEND,,The molecular weight of the structure.,mwt,Current,number,,,,,,,,,,,,,,
Optical Activity,/moieties/?/opticalActivity,root_moieties_structure_opticalActivity,OPTICAL_ACTIVITY,Moiety Optical Activity,UPDATE LUCENE PATH & FIX BACKEND,,"The optical activity or rotation of the material. ""(+)"" and ""(-)"" are used for optically active materials where activity is known and significantly useful for definition. ""(+/-)"" is used for racemic mixtures.",opticalActivity,Current,string,,,,,,,,,,,,,,
References,/moieties/?/references,,,Moiety References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Smiles,/moieties/?/smiles,,,Moiety Smiles,REMOVE LUCENE PATH,,The chemical structure in SMILES format.,smiles,Current,string,,,,,,,,,,,,,,
Total Stereocenters Count,/moieties/?/stereoCenters,root_moieties_structure_stereoCenters,,Moiety Stereo Centers,UPDATE LUCENE PATH & FIX BACKEND,,A count of possible stereocenters.,stereoCenters,Current,number,,,,,,,,,,,,,,
Stereochemistry,/moieties/?/stereochemistry,root_moieties_stereochemistry,STEREOCHEMISTRY_TYPE,Moiety Stereochemistry,,,"The structure's type of stereochemistry (absolute, achiral, racemic, etc.).",stereochemistry,Current,string,,,,,,,,,,,,,,
Stereo Comments,/moieties/?/stereoComments,root_moieties_structure_stereoComments,,Moiety Stereo Comments,UPDATE LUCENE PATH & FIX BACKEND,,Some textually descriptive information about specific stereochemistry that cannot adequately be captured elsewhere.,stereoComments,Current,string,,,,,,,,,,,,,,
Uuid,/moieties/?/uuid,root_moieties_uuid,,Moiety UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Names,/names,,,Record Names,REMOVE LUCENE PATH,,"The list of names associated with a record. These include scientific, common, generic and brand names for substances and concepts. Name objects include both the name as a string, as well as other information.",names,Current,array <Name>,,,,,,,,,,,,,,
Access,/names/?/access,root_names_access,ACCESS_GROUP,Name Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Created,/names/?/created,root_names_created,,Name Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/names/?/createdBy,root_names_createdBy,,Name Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/names/?/deprecated,root_names_deprecated,,Name Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Display Name,/names/?/displayName,root_names_displayName,,Name Display Name,,,True if this is to be the displayed name for the substance.,displayName,Current,boolean,,,,,,,,,,,,,,
Domains,/names/?/domains,root_names_domains_term,NAME_DOMAIN,Name Domains,UPDATE LUCENE PATH & FIX BACKEND,,"The list of domains that this name is used in (e.g. ""drug"", ""cosmetic"", etc).",domains,Current,array <string>,,,,,,,,,,,,,,
Languages,/names/?/languages,root_names_languages_term,LANGUAGE,Name Languages,UPDATE LUCENE PATH & FIX BACKEND,,The list of languages that use that name as written (ISO 639-1 codes).,languages,Current,array <string>,,,,,,,,,,,,,,
Last Edited,/names/?/lastEdited,root_names_lastEdited,,Name Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/names/?/lastEditedBy,root_names_lastEditedBy,,Name Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Naming Jurisdictions,/names/?/nameJurisdiction,root_names_nameJurisdiction_term,JURISDICTION,Name Name Jurisdiction,UPDATE LUCENE PATH & FIX BACKEND,,The list of jurisdictions where that name is used.,nameJurisdiction,Current,array <string>,,,,,,,,,,,,,,
Access,/names/?/nameOrgs/?/access,root_names_nameOrgs_access,ACCESS_GROUP,Naming Organization Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Created,/names/?/nameOrgs/?/created,root_names_nameOrgs_created,,Naming Organization Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/names/?/nameOrgs/?/createdBy,root_names_nameOrgs_createdBy,,Naming Organization Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/names/?/nameOrgs/?/deprecated,root_names_nameOrgs_deprecated,,Naming Organization Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Deprecated Date,/names/?/nameOrgs/?/deprecatedDate,root_names_nameOrgs_deprecatedDate,,Naming Organization Deprecated Date,,,A UNIX timestamp for when the naming organization deprecated the name's status (if it has been deprecated).,deprecatedDate,Current,number,,,,,,,,,,,,,,
Last Edited,/names/?/nameOrgs/?/lastEdited,root_names_nameOrgs_lastEdited,,Naming Organization Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/names/?/nameOrgs/?/lastEditedBy,root_names_nameOrgs_lastEditedBy,,Naming Organization Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
References,/names/?/nameOrgs/?/references,,,Naming Organization References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Uuid,/names/?/nameOrgs/?/uuid,root_names_nameOrgs_uuid,,Naming Organization UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Preferred Status,/names/?/preferred,root_names_preferred,,Name Preferred,,,"True if this is a ""preferred name"" for the substance (each substance may have many).",preferred,Current,boolean,,,,,,,,,,,,,,
References,/names/?/references,,,Name References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Uuid,/names/?/uuid,root_names_uuid,,Name UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Access,/notes/?/access,root_notes_access,ACCESS_GROUP,Note Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Created,/notes/?/created,root_notes_created,,Note Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/notes/?/createdBy,root_notes_createdBy,,Note Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/notes/?/deprecated,root_notes_deprecated,,Note Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/notes/?/lastEdited,root_notes_lastEdited,,Note Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/notes/?/lastEditedBy,root_notes_lastEditedBy,,Note Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
References,/notes/?/references,,,Note References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
